ordinal,frameId,frameName,nodeId,nodeName,adjacentText,ancestorNames,ancestorIds,family,icon,style,fills,svg,geometryKey
15,xD5Vz,1A. Brand light · Start,V437SP,Settings,Execution settings,1A. Brand light · Start > In-flow composer controls > Secondary controls > More settings,xD5Vz/W3z9Pn/UjzGL/N6B7Bs,lucide,chevron-up,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-chevron-up-5eead75ca621.svg,lucide/chevron-up/5eead75ca621
16,xD5Vz,1A. Brand light · Start,xcxsO,Start arrow,Start task,1A. Brand light · Start > In-flow composer controls > Start task button,xD5Vz/W3z9Pn/srIs8,lucide,arrow-up,box-sizing: border-box; flex-shrink: 0; height: 19px; width: 19px,#0F172A,icons/lucide-arrow-up-0347bbb536b5.svg,lucide/arrow-up/0347bbb536b5
17,xD5Vz,1A. Brand light · Start,SKEjB,Isolated worktree,Start immediately · Isolated worktree,1A. Brand light · Start > In-flow composer controls > Safety reassurance,xD5Vz/W3z9Pn/uDJk1,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#667084,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94
18,NMS9D,1B. Brand dark · Start,gf66U,Open navigation,Cezarion iac,1B. Brand dark · Start > App header,NMS9D/ORlbN,lucide,menu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#8992A6,icons/lucide-menu-fdc199b4cb7c.svg,lucide/menu/fdc199b4cb7c
19,NMS9D,1B. Brand dark · Start,SH3C0,Project,iac,1B. Brand dark · Start > App header > Project picker,NMS9D/ORlbN/EnJ2c,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68
20,NMS9D,1B. Brand dark · Start,o1HvGa,Change project,iac,1B. Brand dark · Start > App header > Project picker,NMS9D/ORlbN/EnJ2c,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
21,NMS9D,1B. Brand dark · Start,Vax6v,Slash command,Type / for a skill or workflow,1B. Brand dark · Start > Task draft > Input hint,NMS9D/klhsC/qXzNI,lucide,terminal,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-terminal-f35d82c7c883.svg,lucide/terminal/f35d82c7c883
22,NMS9D,1B. Brand dark · Start,r0CYF,Attach,,1B. Brand dark · Start > Task draft > Add context > Attach files button,NMS9D/klhsC/VVAqx/xMQH6,lucide,paperclip,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#8992A6,icons/lucide-paperclip-1bc12a1c61d4.svg,lucide/paperclip/1bc12a1c61d4
23,NMS9D,1B. Brand dark · Start,Xkk0G,Template icon,Template,1B. Brand dark · Start > Task draft > Add context > Template,NMS9D/klhsC/VVAqx/ujHJT,lucide,notebook-pen,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-notebook-pen-964a1935b419.svg,lucide/notebook-pen/964a1935b419
24,NMS9D,1B. Brand dark · Start,dwyYQ,Open template picker,Template,1B. Brand dark · Start > Task draft > Add context > Template,NMS9D/klhsC/VVAqx/ujHJT,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
25,NMS9D,1B. Brand dark · Start,sgNfD,Skills,Skill,1B. Brand dark · Start > Task draft > Add context > Add skill or workflow,NMS9D/klhsC/VVAqx/w9J4Js,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a
26,NMS9D,1B. Brand dark · Start,t6t2zC,Open skill picker,Skill,1B. Brand dark · Start > Task draft > Add context > Add skill or workflow,NMS9D/klhsC/VVAqx/w9J4Js,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
27,NMS9D,1B. Brand dark · Start,a8ivUy,Dictate icon,,1B. Brand dark · Start > Task draft > Add context > Dictate,NMS9D/klhsC/VVAqx/t3JzB,lucide,mic,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-mic-47006fc57172.svg,lucide/mic/47006fc57172
28,NMS9D,1B. Brand dark · Start,M3Abm,Selected mode,Start,1B. Brand dark · Start > In-flow composer controls > Run mode — Start selected > Start mode,NMS9D/v2A8A/p0TDs/S44hLf,lucide,check,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#D7BDFF,icons/lucide-check-eec82dfb4f14.svg,lucide/check/eec82dfb4f14
29,NMS9D,1B. Brand dark · Start,L2XJw8,Model symbol,MODEL Fable,1B. Brand dark · Start > In-flow composer controls > Model picker full width,NMS9D/v2A8A/tB32U,lucide,cpu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#D7BDFF,icons/lucide-cpu-78353ca31ba0.svg,lucide/cpu/78353ca31ba0
30,NMS9D,1B. Brand dark · Start,QeqM6,Choose model,MODEL Fable,1B. Brand dark · Start > In-flow composer controls > Model picker full width,NMS9D/v2A8A/tB32U,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
31,NMS9D,1B. Brand dark · Start,q02ivp,Runner dropdown,Runner claude,1B. Brand dark · Start > In-flow composer controls > Runner and effort pickers > Runner picker,NMS9D/v2A8A/sj3A9/VGwLW,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
32,NMS9D,1B. Brand dark · Start,F6drxC,Effort dropdown,Effort Auto,1B. Brand dark · Start > In-flow composer controls > Runner and effort pickers > Effort picker,NMS9D/v2A8A/sj3A9/rC2dS,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
33,NMS9D,1B. Brand dark · Start,cUosU,Settings,Execution settings,1B. Brand dark · Start > In-flow composer controls > Secondary controls > More settings,NMS9D/v2A8A/MyFY9/yywwv,lucide,chevron-up,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#8992A6,icons/lucide-chevron-up-5eead75ca621.svg,lucide/chevron-up/5eead75ca621
34,NMS9D,1B. Brand dark · Start,xcxsO,Start arrow,Start task,1B. Brand dark · Start > In-flow composer controls > Start task button,NMS9D/v2A8A/JLxHC,lucide,arrow-up,box-sizing: border-box; flex-shrink: 0; height: 19px; width: 19px,#0F172A,icons/lucide-arrow-up-0347bbb536b5.svg,lucide/arrow-up/0347bbb536b5
35,NMS9D,1B. Brand dark · Start,cgRzx,Isolated worktree,Start immediately · Isolated worktree,1B. Brand dark · Start > In-flow composer controls > Safety reassurance,NMS9D/v2A8A/ta5Sg,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 13px; width: 13px,#8992A6,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94
36,twLlb,1C. Desktop light · Start,cgB89,Search,Search… ⌘K,1C. Desktop light · Start > Shared project navigation > Search tasks,twLlb/Plpq2/ybjGr,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3
37,twLlb,1C. Desktop light · Start,tZRqN,New task icon,New task,1C. Desktop light · Start > Shared project navigation > Workspace links > New task,twLlb/Plpq2/bb25v/qc4mQ,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#6D28D9,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254
38,twLlb,1C. Desktop light · Start,tZRqN,New task icon,All tasks,1C. Desktop light · Start > Shared project navigation > Workspace links > All tasks,twLlb/Plpq2/bb25v/w9L9KD,lucide,layers,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-layers-bcddb17470e3.svg,lucide/layers/bcddb17470e3
39,twLlb,1C. Desktop light · Start,sKJdH,Project,iac main,1C. Desktop light · Start > Shared project navigation > Current project navigation > Project iac,twLlb/Plpq2/VEimT/PxWce,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274
40,twLlb,1C. Desktop light · Start,tZRqN,New task icon,Tasks,1C. Desktop light · Start > Shared project navigation > Current project navigation > Tasks navigation,twLlb/Plpq2/VEimT/c6IKH,lucide,list-todo,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-list-todo-90fea884f26c.svg,lucide/list-todo/90fea884f26c
41,twLlb,1C. Desktop light · Start,tZRqN,New task icon,Git,1C. Desktop light · Start > Shared project navigation > Current project navigation > Git navigation,twLlb/Plpq2/VEimT/vF8c3,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
42,twLlb,1C. Desktop light · Start,tZRqN,New task icon,GitHub,1C. Desktop light · Start > Shared project navigation > Current project navigation > GitHub navigation,twLlb/Plpq2/VEimT/T1sXQ,lucide,github,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-github-357f9b03fe86.svg,lucide/github/357f9b03fe86
43,twLlb,1C. Desktop light · Start,tZRqN,New task icon,Skills,1C. Desktop light · Start > Shared project navigation > Current project navigation > Skills navigation,twLlb/Plpq2/VEimT/aCvcs,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a
44,twLlb,1C. Desktop light · Start,tZRqN,New task icon,Workflows,1C. Desktop light · Start > Shared project navigation > Current project navigation > Workflows navigation,twLlb/Plpq2/VEimT/WomKn,lucide,workflow,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-workflow-8a89b4882c44.svg,lucide/workflow/8a89b4882c44
45,twLlb,1C. Desktop light · Start,tZRqN,New task icon,Settings,1C. Desktop light · Start > Shared project navigation > Current project navigation > Settings navigation,twLlb/Plpq2/VEimT/U0WweV,lucide,settings,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#667084,icons/lucide-settings-6f5239928ba5.svg,lucide/settings/6f5239928ba5
46,twLlb,1C. Desktop light · Start,cOCez,Session status,Auditing stale Ansible roles Parent · Done,1C. Desktop light · Start > Shared project navigation > Single-project sessions > Shared parent and worker sessions > Selected parent session,twLlb/Plpq2/S8Te1i/gSVoo/z4zFw,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#187447,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
47,twLlb,1C. Desktop light · Start,cOCez,Session status,Role reference scan Worker · Done,1C. Desktop light · Start > Shared project navigation > Single-project sessions > Shared parent and worker sessions > Workers belonging to audit > Worker hierarchy guide > Audit worker,twLlb/Plpq2/S8Te1i/gSVoo/E5FWJ/tVXld/bTWrG,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#187447,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
48,twLlb,1C. Desktop light · Start,cOCez,Session status,Delegated worker setup Parent · Needs review #218,1C. Desktop light · Start > Shared project navigation > Single-project sessions > Shared parent and worker sessions > Delegated worker parent,twLlb/Plpq2/S8Te1i/gSVoo/xJrri,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#6D28D9,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
49,twLlb,1C. Desktop light · Start,r3iXr,Reference status glyph,#218,1C. Desktop light · Start > Shared project navigation > Single-project sessions > Shared parent and worker sessions > Delegated worker parent > Session labels > Optional tracker reference line > Optional PR or issue,twLlb/Plpq2/S8Te1i/gSVoo/xJrri/F88dJ/HPxph/zfD1m,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f
50,twLlb,1C. Desktop light · Start,cOCez,Session status,Worker handoff checks Worker · Needs review #219,1C. Desktop light · Start > Shared project navigation > Single-project sessions > Shared parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example,twLlb/Plpq2/S8Te1i/gSVoo/dcZPW/CtBMx/ynL0t,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#6D28D9,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
